measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,1987,518383.50642489793,532537.3489749044,489762.8175949779
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,1987,0.24432458836197302,0.25106301052317936,0.2309831285174544
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,1987,210.60762752088434,216.35801726672963,198.97968161254713
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1987,170.61436380186848,175.10012679034813,161.70913801451042
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,1986,509410.35174947744,523213.34258443967,481970.2017786704
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,1986,0.24278115596697672,0.24931392251180287,0.22961034106224093
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,1986,209.02662501262492,214.69041370361543,197.76709344138786
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1986,170.33638923616311,174.79959765811972,161.60254183372243
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,1988,527591.748332418,542132.94087818,498649.4695783349
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,1988,0.24523353701412842,0.25209971178308216,0.2319046724091814
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,1988,212.17749275837406,218.02541169537105,200.53800036645333
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1988,170.88419343512265,175.41816473124922,162.10711713010713
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,1,Number,1981,7431.477237092776,8839.24690254746,6089.881832397474
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,2,Percent,1981,0.032625610421911165,0.03768425234024659,0.02793808864248576
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,3,Rate,1981,54.514886694115155,64.84182457675043,44.67338154743169
1,Deaths,190,Uganda,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1981,133.04085102204965,157.5222836367724,110.96320995437391
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,1,Number,1980,179805.40994812842,183697.25450640987,173346.41471473966
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,2,Percent,1980,0.2516252319509013,0.25718455319779177,0.2425999546715677
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,3,Rate,1980,150.50575716248548,153.76341783115961,145.09926817869737
1,Deaths,67,Japan,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1980,148.83000898244487,152.60674977224497,142.32080399535496
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,1,Number,1982,187979.1656164255,192223.22334776682,180608.06474195857
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,2,Percent,1982,0.26243378559251135,0.2683725550994577,0.2519376328766274
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,3,Rate,1982,155.2334336989211,158.73818196340082,149.146369235514
1,Deaths,67,Japan,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1982,146.10412411249078,149.97114143360625,139.44431649709114
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,1,Number,1983,8415.968273153716,9992.053064292984,6940.6162613953375
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,2,Percent,1983,0.03578334462359389,0.04129666655917813,0.03041301966169933
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,3,Rate,1983,58.87228252285507,69.89747963533846,48.55174213607985
1,Deaths,190,Uganda,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1983,140.8531210642621,167.0342358144257,115.69105518036255
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,1,Number,1984,8576.808266373831,10241.474920959961,7015.073552322474
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,2,Percent,1984,0.0353257203045612,0.04105691420129538,0.029708047872487903
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,3,Rate,1984,58.53885888882185,69.90062463701962,47.87962934698223
1,Deaths,190,Uganda,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1984,140.43517556909714,167.44535317397975,115.1683724931066
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,1,Number,1985,207822.9426389639,212831.51873716287,198733.68060727802
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,2,Percent,1985,0.2777817155150014,0.28439419868046933,0.2654540956643699
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,3,Rate,1985,168.58254867335032,172.64542312376966,161.20948899377754
1,Deaths,67,Japan,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1985,147.153202661521,151.23988755170467,139.7717907287704
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,1989,533785.5802005507,549274.5203995237,504807.7807989025
